Account Name,Tweet,Date,No. of Replies,No. of Likes,No. of Retweets
Matthew Dowd,"All, there has been no fundamental change in the presidential race since the Harris/Trump debate. It remains basically a 3 point national Harris lead. And the swing states are thus not moving in any significant way. All are within a point or two of the national number.",Oct-10,105,28K,986
Harry Sisson,"I just spoke to my Uber driver in Detroit, Michigan, and he told me he’s voting for Kamala Harris. He's originally from Gambia and is a registered Independent. He said he saw how bad dictators were in Africa and warns that Trump wants to do the same. Amazing.",Oct-07,2.4K,271K,3.8K
MAYRA Photography,No foreign enemy attacks America as much as Donald Trump does.,Oct-11,29,6.5K,1K
Travis4Trump,"I got a phone call today from a company doing a political poll in a swing state. When she asked my political affiliation, I said Conservative. Next she asked who I'm voting for. I said Trump and she responded with “you're not voting for anyone, got it.” I said again ""I'm voting for Trump.”",Oct-08,2.3K,671K,31K
Geraldo Rivera,"For all he has done and said that offended, insulted and hurt folks who didn’t deserve it, there is one unforgivable thing that disqualifies Donald Trump from again serving as our president. He has forced, coaxed, manipulated and intimidated tens of millions to become liars who say the election...",Oct-09,9.8K,1.5M,1.2M
Black Insurrectionist,"If Donald Trump is doubled his support in black America, doubled his support in Latino's vote and is also leading the Arab vote, how in the hell does any poll have him losing? This points to a landslide but yet many polls have him losing, the average Harris supporter thinks this is normal.",Oct-08,5.4K,945K,1.3M
Jess Piper,I’m not reading shit from a journalist who knew what was going on in Trump’s White House but saved it to write it down in a book...,Oct-09,2.1K,50K,5.5K
4fuXcake1,Who thinks Trump is a traitor who should be removed from the ballot?,Oct-09,1.1K,12K,359
Pam Keith Esq.,"The news about Trump sharing nuclear secrets with an Australian acquaintance at Mar-a-Lardo is an “of course he did.” Why else would he take the stuff. This is not an indictment of Trump. It’s a fucking outrageous indictment of Merrick Garland, who let it all slide.",Oct-11,48,23K,2.4K
Art Candee,“Donald Trump is a 78 year-old billionaire who hasn’t stopped whining about his problems.” —Former President Obama,Oct-10,22,8.8K,1K
Sundae Gurl,The only diaper Donald Trump has ever changed is his own.,Oct-10,75,8.6K,595
WTFGOP,I’m watching the Weather Channel. Jim Cantore is standing in a flooded parking garage & just said the northern eyewall is hitting Tampa. And they've had 19 tornadoes in Florida touchdown.,Oct-09,61,12K,622
PrezLives2022,"Trump's last few Truth Social posts reflect that of a man who has seen his internal polls and is scared. He is now lashing out like a madman telling the most ridiculous lies. “I WON THE LAST TWO DEBATES, ONE WITH CROOKED JOE, THE OTHER WITH LYIN’ KAMALA,” said Trump. “I ACCEPTED BIDEN'S...”",Oct-09,217,73K,704
KD,"Ryan Walters wants to spend $6 million to put Bibles in public schools. The only Bible that fits his requirements is the Trump Bible. The Bible is free online, as are all the documents in his requirements. The Trump Bibles cost $60 each. AND, THEY ARE MADE IN CHINA.",Oct-09,126,20K,1.7K
Mikel Jollett,"Trump really said criminality is based in genetics: “We’ve got a lot of bad genes in our country right now.” I know he says a lot of crazy shit but this is stone cold, hardcore racism. If you vote for this YOU are a racist.",Oct-09,1.2K,11K,469
Warren Kinsella,"The problem isn’t that Donald Trump is really stupid. The problem is that there are 74,223,975 voting-age Americans who are really stupid.",Oct-11,235,22K,408
CooknColorado,"Today, in Aurora, CO, Donald Trump publicly announced his intention to build concentration camps, in America, if he is elected. He will not stop with rounding up immigrants. We have to stop him.",Oct-11,2.9K,440K,41K
Amy Siskind,"Trump, speaking in Detroit today, said “the whole country will be like Detroit if she ends up being president,” and compared Detroit to a “developing area.” Trump is insane! Why isn't our media demanding cognitive testing of this man?",Oct-10,59,112K,4.7K
WTFGOP,"The Guardian reported that Corey Comperatore, the firefighter who was shot & killed at Trump’s first #Staged Assassination, was ridiculed by Trump at a dinner that someone recorded. “So they’re going to get millions of dollars but the woman, the wife, this beautiful woman, I handed...”",Oct-10,32,13K,1.2K
Still Boneless,"I just realized that when Trump wins, Kamala will be the one to certify the election. And she’ll have no recourse to send back the electors because they changed the law to remove that option from the VP. What a grand finale it will be.",Oct-09,797,946K,32K
Angela Belcamino,I LOVE ELON MUSK I LOVE SPACE X I LOVE TESLA I LOVE TRUMP SIGN UP FOR PREMIUM PLUS,Oct-11,218,74K,790
Julius Kim,"If Trump gets elected, America as we know it will no longer exist. The most patriotic thing ALL people can do is to vote for #KamalaHarris.",Oct-11,139,14K,555
MAYRA Photography,I’m sure that Donald Trump doesn’t even change his own diaper.,Oct-11,72,6.9K,642
Agent Self FBI,Why does the KKK endorse Trump?,Oct-11,103,8.7K,580
Jack Hopkins,“It's Un-American!” —President Biden answering a question from a reporter asking why he thinks Trump is lying about the storm-relief efforts.,Oct-09,28,23K,705
Art Candee,"Donald Trump wants military aircrafts and vehicles to protect him ahead of the election due to the “Iran threat.” No, Donald Trump wants to go golfing. Donald probably also wants to surround himself with the military so he can stage another coup. Hard pass.",Oct-11,65,7K,746
AesPolitics1,"Economy is better than previously reported. -Roe v. Wade is motivating a lot of people to vote. -Harris is drifting further to the center of the political spectrum. Yeah, I don’t see Trump winning easily at all. I see him losing.",Oct-11,11,5K,463
EssenViews,"Putin cultivated Trump as a “source” to manipulate the US, a former head of the CIA has said. Leon Panetta, who also served as defense secretary under Barack Obama, added that there were “real questions” over Trump’s loyalty to the US because of his relationship with Putin.",Oct-10,6,1.4K,173
WTFGOP,"Holy Fucking shit! Stephen Colbert tonight. “We invited Kamala Harris to be our guest this evening, that interview in a moment. In the interest of fairness, we also invited Donald Trump to go fuck himself.”",Oct-09,67,53K,7K
AesPolitics1,"If Trump loses, it's because of two issues: Economy and Abortion. The economy is getting noticeably better. And the abortion issue is wrecking him.",Oct-11,24,4.6K,554
Christopher Skelly,"To Libertarians who are voting for Trump, why? Do you think he'll keep his promises? Do you think politicians generally keep their promises? Are you simply voting for the “lesser of two evils”?",Oct-11,189,14K,166
Mayo,"Before you vote in November, just remember that Donald Trump killed a million Americans with his mishandling of COVID-19. Now women are dying in red states because of Trump's abortion bans. We won't survive another Trump administration. Vote blue.",Oct-11,122,20K,26K
Molly Ploofkins,What percentage of Trump's MAGA morons would drink the Kool-Aid if he directed them?,Oct-10,1.3K,46K,2.2K
Stu Cameron,"Trump's Sneakers are made in Vietnam, Trump's Bibles are made in China, and Trump's promises are made to Moscow...",Oct-10,321,331K,30K
AB84,I went bankrupt with Biden/Harris. I won Super Bowl with Trump. My story resemble so many others. Striving with Trump. Broke with Biden/Harris. #CTESPN,Oct-10,2.6K,3.2M,56K
emptywheel (blue dacnis),It is a testament to the double standard used with Trump that more people are talking about WHETHER VP Harris’ 60 Minutes appearance counts as an interview than talking about Trump dodging the tradition altogether because he refuses to be fact-checked. Harris is not the story here.,Oct-07,83,3.7K,64K
The Shallow State,"I am looking forward to 2028, when President Kamala Harris puts her undefeated debate championship on the line against the nominee from whatever party is formed to replace the defunct GOP.",Oct-10,14,642,8.6K
Jo (JoJoFromJerz),"This weekend, Donald Trump warned us not to identify as Kamala Harris voters because we could “get hurt” for doing so, while he blamed the Democrats for trying to “kill him” at the very same time.",Oct-07,843,12K,1.6M
Amy Siskind 🇺🇦,"60 Minutes was tough on Harris, but she handled it with poise and looked great. Trump would have melted down in the same scenario. He can only handle softball interviews – and barely even that.",Oct-07,98,3.4K,41K
MED GOLD 🧠,The results could say every single registered voter checked off Kamala Harris on their ballot and I still won’t believe she won an election. This dumb b*tch is mindblowingly cringe and retarded. I believe maximum 20% of the populace will actually go out of their way to vote for Kamala.,Oct-08,22,47K,5.2K
Cassie Pritchard,"Pretty convinced Harris is gonna lose, at this point.",Oct-07,166,3.6K,217K
Cenk Uygur,Tim Walz said we should ditch the electoral college. Of course. It’s obviously undemocratic. It’s absurd to constantly have the person who lost the popular vote win. Harris’ team made him walk back his comment. Why?! Why would Democrats be defending the electoral college? So dumb.,Oct-11,317,24.2K,208K
EssenViews,"FCC chair denounces Trump’s calls for CBS to ‘lose its license’ over Harris’ “60 Minutes” interview. “While repeated attacks against broadcast stations by the former President may now be familiar, these threats against free speech are serious and should not be ignored,” FCC",Oct-10,5,284,21K
Philip Anderson,Nick Fuentes was paid off by the feds and given a deal that would keep him out of jail. That’s the reason why he’s attacking Trump and telling the far right to vote for Kamala Harris. Who will literally give illegal immigrants the right to vote.,Oct-08,17,281,5.2K
Black Insurrectionist,"Kamala Harris is receiving high praise on going on a series of interviews this week. I mean, The View, Howard Stern, the Bimbo Call her Daddy and Colbert. I hope to god she survives such tough interviews. I mean, those are all hard-hitting networks. LMFAO. I expect Howard Stern",Oct-08,113,63K,11K
Tulsi Gabbard (Parody),Why do you think celebrities are voting for Kamala Harris?,Oct-08,971,4.5K,31K
Mark Penn,No question Mark Halperin analysis is sensible. Polls coming in show Harris peaked and interviews not helping. Swing states trending away from Harris. It’s not over until it’s over and this is still on a razor’s edge so it can flip back but that’s a fair read of newest polling.,Oct-10,115,1.1K,96K
Santiago Mayer,"Kamala Harris is killing it on the Univision Townhall. Not only has she laid out her record and responded to disinformation, but she made a passionate defense of Dreamers and doubled down on her support for a path to citizenship. Let’s do this. #LatinosConHarris",Oct-10,164,4.8K,100K
John Podhoretz,"""Ukraine must have a say in the future of Ukraine"" says Kamala Harris, who is fast moving beyond parody",Oct-07,679,4.1K,419K
Blake Harris,"Muncy, dude…",Oct-09,79,684,55K
Walt Deptula,"If this loaded for show C17 photo op story is true, Harris should just step down.",Oct-11,115,1.2K,11K
#TurnTexasBlue to Turn America Blue 🌊,"People like Elon are trying to manipulate betting markets to put Trump ahead. Don’t buy it. It is likely that Harris wins, according to unbiased experts, as long as we just show up and it looks like we are.",Oct-11,90,1.8K,2.8K
Jessica Whaley,Kamala Harris just asked the head of the Coast Guard to dispel “misinformation” she has heard about Milton. Admiral Linda Fagan said she wasn’t aware of any and the local officials are doing a great job. Kamala is pathetic to continually try to politicize this storm.,Oct-09,11,152,5.1K
Special K 🇺🇸✌🏽✌🏽✌🏽,National coming out day will be much more loving and safe when we elect Kamala Harris and Tim Walz. We got you. Always an ally.,Oct-11,3,24,150
Ed Whelan,It’s one thing to support Harris because she’s not Trump. It’s quite another thing to pretend that she’s not wildly to the left of the American people.,Oct-09,40,271,13K
Kamala Harris Press Release (Parody),Serious question. Are you really not going to vote for the black woman?,Oct-09,10,246,7K
Ben Arthur,"#Titans defensive passing game coordinator/CBs coach Chris Harris will miss Sunday’s game against the Colts, the team said. His duties will be absorbed by secondary/safeties coach Steve Jackson.",Oct-11,2,17,10K
I’m Queenie,"Good morning, friends. I want to take a moment to thank whoever invented generators, so spoiled brats like myself can sleep without getting too hot. Has the October surprise happened yet? I feel like the Kamala Harris campaign is going to have an epic meltdown soon.",Oct-11,11,241,214
IL Brandonite,The race has gone from 58-42 in Harris’ favor to 50-50,Oct-11,25,82,3.5K
Conservative Forum,Why can’t I ever skip the Harris/Walz campaign ads on YouTube?,Oct-11,1,5,241
Ana Cabrera,"VP Harris: ""Those evacuating before Hurricane Milton or recovering from Hurricane Helene should not be subject to illegal price gouging or fraud – at the pump, airport, or hotel counter. Any company or individual that tries to exploit Americans in an emergency should know""",Oct-09,11,124,11K
